account_id,time,default_rate,r12_gdp_bl,r12_gdp_st
401748,2007,,3.335074,3.335074
401748,2008,0.0050534,0.8056425,0.8056425
401748,2009,,-5.223765,-5.223765
401748,2010,,3.786477,3.786477
401748,2011,,3.344833,3.344833
401748,2012,,0.8923269,0.8923269
401748,2013,,0.5314357,0.5314357
401748,2014,,1.744751,-0.8668542
401748,2015,,1.953805,-1.751212
401748,2016,,1.777671,0.3236178
401748,2017,,1.697906,1.716037
401748,2018,,1.790401,1.769894
401748,2019,,1.601768,1.604487
401748,2020,,1.494786,1.494678
401749,2005,,0.8475649,0.8475649
401749,2006,,3.807042,3.807042
401749,2007,,3.335074,3.335074
401749,2008,0.0050534,0.8056425,0.8056425
401749,2009,0.0313,-5.223765,-5.223765
401749,2010,0.074472,3.786477,3.786477
401749,2011,0.04017,3.344833,3.344833
401749,2012,0.004828,0.8923269,0.8923269
401749,2013,0.006358,0.5314357,0.5314357
401749,2014,,1.744751,-0.8668542
401749,2015,,1.953805,-1.751212
401749,2016,,1.777671,0.3236178
401749,2017,,1.697906,1.716037
401749,2018,,1.790401,1.769894
401749,2019,,1.601768,1.604487
401749,2020,,1.494786,1.494678
401830,2005,,0.8475649,0.8475649
401830,2006,,3.807042,3.807042
401830,2007,,3.335074,3.335074
401830,2008,,0.8056425,0.8056425
401830,2009,,-5.223765,-5.223765
401830,2010,,3.786477,3.786477
401830,2011,,3.344833,3.344833
401830,2012,,0.8923269,0.8923269
401830,2013,0.0074,0.5314357,0.5314357
401830,2014,,1.744751,-0.8668542
401830,2015,,1.953805,-1.751212
401830,2016,,1.777671,0.3236178
401830,2017,,1.697906,1.716037
401830,2018,,1.790401,1.769894
401830,2019,,1.601768,1.604487
401830,2020,,1.494786,1.494678
401948,2005,,0.8475649,0.8475649
401948,2006,,3.807042,3.807042
401948,2007,0.0152953,3.335074,3.335074
401948,2008,0.018,0.8056425,0.8056425
401948,2009,0.0129489,-5.223765,-5.223765
401948,2010,0.0001,3.786477,3.786477
401948,2011,0.003287,3.344833,3.344833
401948,2012,0.003597,0.8923269,0.8923269
401948,2013,0.003291,0.5314357,0.5314357
401948,2014,,1.744751,-0.8668542
401948,2015,,1.953805,-1.751212
401948,2016,,1.777671,0.3236178
401948,2017,,1.697906,1.716037
401948,2018,,1.790401,1.769894
401948,2019,,1.601768,1.604487
401948,2020,,1.494786,1.494678
401986,2005,,0.8475649,0.8475649
401986,2006,,3.807042,3.807042
401986,2007,,3.335074,3.335074
401986,2008,,0.8056425,0.8056425
401986,2009,,-5.223765,-5.223765
401986,2010,,3.786477,3.786477
401986,2011,0.004961,3.344833,3.344833
401986,2012,0.004183,0.8923269,0.8923269
401986,2013,0.003946,0.5314357,0.5314357
401986,2014,,1.744751,-0.8668542
401986,2015,,1.953805,-1.751212
401986,2016,,1.777671,0.3236178
401986,2017,,1.697906,1.716037
401986,2018,,1.790401,1.769894
401986,2019,,1.601768,1.604487
401986,2020,,1.494786,1.494678
402077,2005,,0.8475649,0.8475649
402077,2006,,3.807042,3.807042
402077,2007,,3.335074,3.335074
402077,2008,,0.8056425,0.8056425
402077,2009,,-5.223765,-5.223765
402077,2010,,3.786477,3.786477
402077,2011,0.003234,3.344833,3.344833
402077,2012,0.002833,0.8923269,0.8923269
402103,2005,,0.8475649,0.8475649
402103,2006,,3.807042,3.807042
402103,2007,0.0050671,3.335074,3.335074
402103,2008,0.0072938,0.8056425,0.8056425
402103,2009,,-5.223765,-5.223765
402103,2010,,3.786477,3.786477
402103,2011,,3.344833,3.344833
402103,2012,,0.8923269,0.8923269
402103,2013,,0.5314357,0.5314357
402103,2014,,1.744751,-0.8668542
402103,2015,,1.953805,-1.751212
402103,2016,,1.777671,0.3236178
402103,2017,,1.697906,1.716037
402103,2018,,1.790401,1.769894
402103,2019,,1.601768,1.604487
402103,2020,,1.494786,1.494678
402106,2005,,0.8475649,0.8475649
402106,2006,,3.807042,3.807042
402106,2007,,3.335074,3.335074
402106,2008,,0.8056425,0.8056425
402106,2009,,-5.223765,-5.223765
402106,2010,,3.786477,3.786477
402106,2011,,3.344833,3.344833
402106,2012,0.0034,0.8923269,0.8923269
402106,2013,0.0034,0.5314357,0.5314357
402106,2014,,1.744751,-0.8668542
402106,2015,,1.953805,-1.751212
402106,2016,,1.777671,0.3236178
402106,2017,,1.697906,1.716037
402106,2018,,1.790401,1.769894
402106,2019,,1.601768,1.604487
402106,2020,,1.494786,1.494678
402118,2005,,0.8475649,0.8475649
402118,2006,,3.807042,3.807042
402118,2007,,3.335074,3.335074
402118,2008,,0.8056425,0.8056425
402118,2009,0.0145694,-5.223765,-5.223765
402118,2010,,3.786477,3.786477
402118,2011,,3.344833,3.344833
402118,2012,,0.8923269,0.8923269
402118,2013,,0.5314357,0.5314357
402118,2014,,1.744751,-0.8668542
402118,2015,,1.953805,-1.751212
402118,2016,,1.777671,0.3236178
402118,2017,,1.697906,1.716037
402118,2018,,1.790401,1.769894
402118,2019,,1.601768,1.604487
402118,2020,,1.494786,1.494678
402146,2005,,0.8475649,0.8475649
402146,2006,,3.807042,3.807042
402146,2007,,3.335074,3.335074
402146,2008,,0.8056425,0.8056425
402146,2009,,-5.223765,-5.223765
402146,2010,0.178337,3.786477,3.786477
402146,2011,0.038503,3.344833,3.344833
402146,2012,0.222403,0.8923269,0.8923269
402146,2013,0.196673,0.5314357,0.5314357
402146,2014,,1.744751,-0.8668542
402146,2015,,1.953805,-1.751212
402146,2016,,1.777671,0.3236178
402146,2017,,1.697906,1.716037
402146,2018,,1.790401,1.769894
402146,2019,,1.601768,1.604487
402146,2020,,1.494786,1.494678
402147,2005,,0.8475649,0.8475649
402147,2006,,3.807042,3.807042
402147,2007,,3.335074,3.335074
402147,2008,,0.8056425,0.8056425
402147,2009,,-5.223765,-5.223765
402147,2010,0.178337,3.786477,3.786477
402147,2011,0.038503,3.344833,3.344833
402147,2012,0.222403,0.8923269,0.8923269
402147,2013,0.196673,0.5314357,0.5314357
402147,2014,,1.744751,-0.8668542
402147,2015,,1.953805,-1.751212
402147,2016,,1.777671,0.3236178
402147,2017,,1.697906,1.716037
402147,2018,,1.790401,1.769894
402147,2019,,1.601768,1.604487
402147,2020,,1.494786,1.494678
402304,2005,,0.8475649,0.8475649
402304,2006,,3.807042,3.807042
402304,2007,,3.335074,3.335074
402304,2008,,0.8056425,0.8056425
402304,2009,,-5.223765,-5.223765
402304,2010,0.178337,3.786477,3.786477
402304,2011,0.038503,3.344833,3.344833
402304,2012,0.222403,0.8923269,0.8923269
402304,2013,0.196673,0.5314357,0.5314357
402304,2014,,1.744751,-0.8668542
402304,2015,,1.953805,-1.751212
402304,2016,,1.777671,0.3236178
402304,2017,,1.697906,1.716037
402304,2018,,1.790401,1.769894
402304,2019,,1.601768,1.604487
402304,2020,,1.494786,1.494678
402580,2005,,0.8475649,0.8475649
402580,2006,,3.807042,3.807042
402580,2007,0.0081668,3.335074,3.335074
402580,2008,0.0115271,0.8056425,0.8056425
402580,2009,0.0273255,-5.223765,-5.223765
402580,2010,0.014279,3.786477,3.786477
402580,2011,0.089,3.344833,3.344833
402580,2012,,0.8923269,0.8923269
402580,2013,,0.5314357,0.5314357
402580,2014,,1.744751,-0.8668542
402580,2015,,1.953805,-1.751212
402580,2016,,1.777671,0.3236178
402580,2017,,1.697906,1.716037
402580,2018,,1.790401,1.769894
402580,2019,,1.601768,1.604487
402580,2020,,1.494786,1.494678
402744,2005,,0.8475649,0.8475649
402744,2006,,3.807042,3.807042
402744,2007,,3.335074,3.335074
402744,2008,,0.8056425,0.8056425
402744,2009,0.0134139,-5.223765,-5.223765
402744,2010,0.0001,3.786477,3.786477
402744,2011,0.002933,3.344833,3.344833
402744,2012,0.009153,0.8923269,0.8923269
402744,2013,0.0117,0.5314357,0.5314357
402744,2014,,1.744751,-0.8668542
402744,2015,,1.953805,-1.751212
402744,2016,,1.777671,0.3236178
402744,2017,,1.697906,1.716037
402744,2018,,1.790401,1.769894
402744,2019,,1.601768,1.604487
402744,2020,,1.494786,1.494678
403096,2005,,0.8475649,0.8475649
403096,2006,,3.807042,3.807042
403096,2007,0.0098488,3.335074,3.335074
403096,2008,,0.8056425,0.8056425
403096,2009,0.1989,-5.223765,-5.223765
403096,2010,0.05461,3.786477,3.786477
403096,2011,,3.344833,3.344833
403096,2012,,0.8923269,0.8923269
403096,2013,,0.5314357,0.5314357
403096,2014,,1.744751,-0.8668542
403096,2015,,1.953805,-1.751212
403096,2016,,1.777671,0.3236178
403096,2017,,1.697906,1.716037
403096,2018,,1.790401,1.769894
403096,2019,,1.601768,1.604487
403096,2020,,1.494786,1.494678
403098,2005,,0.8475649,0.8475649
403098,2006,,3.807042,3.807042
403098,2007,0.0098488,3.335074,3.335074
403098,2008,,0.8056425,0.8056425
403098,2009,0.1989,-5.223765,-5.223765
403098,2010,0.05461,3.786477,3.786477
403098,2011,,3.344833,3.344833
403098,2012,,0.8923269,0.8923269
403098,2013,,0.5314357,0.5314357
403098,2014,,1.744751,-0.8668542
403098,2015,,1.953805,-1.751212
403098,2016,,1.777671,0.3236178
403098,2017,,1.697906,1.716037
403098,2018,,1.790401,1.769894
403098,2019,,1.601768,1.604487
403098,2020,,1.494786,1.494678
403099,2005,,0.8475649,0.8475649
403099,2006,,3.807042,3.807042
403099,2007,0.0098488,3.335074,3.335074
403099,2008,,0.8056425,0.8056425
403099,2009,0.1989,-5.223765,-5.223765
403099,2010,0.05461,3.786477,3.786477
403099,2011,,3.344833,3.344833
403099,2012,,0.8923269,0.8923269
403099,2013,,0.5314357,0.5314357
403099,2014,,1.744751,-0.8668542
403099,2015,,1.953805,-1.751212
403099,2016,,1.777671,0.3236178
403099,2017,,1.697906,1.716037
403099,2018,,1.790401,1.769894
403099,2019,,1.601768,1.604487
403099,2020,,1.494786,1.494678
403100,2005,,0.8475649,0.8475649
403100,2006,,3.807042,3.807042
403100,2007,0.0098488,3.335074,3.335074
403100,2008,,0.8056425,0.8056425
